Deepfake Detection Results
Weights: batchFacesAll
================================================================================

[1/4639] Image: fa9fd3dc-ca18-442d-acc5-3b92ee07b909__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9554
[856/4639] Image: 2ab91de9-c80f-493e-a9e1-3318ca0729d3__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1162
[857/4639] Image: 442c1c62-bfe4-41e6-a034-bf802d68cb33__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9850
[858/4639] Image: 91926766-7df8-4d0d-904a-5aee88b54d54__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8518
[859/4639] Image: 219fbb18-1120-4eaf-86e2-f91c0d6d3c21__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9430
[860/4639] Image: 1405be78-2585-4d05-8d32-75d3d29d5672__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6216
[861/4639] Image: bb262835-735e-4fbc-b540-81b79e657394__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4447
[862/4639] Image: 7104e89b-93bf-4bcc-9f38-60408530d34d__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7881
[863/4639] Image: 32faf56b-5b4c-4586-b42a-16b4fd7b6440__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9730
[864/4639] Image: a91ed7ad-ef51-4c09-9020-c358306c4205__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5693
[865/4639] Image: b7d2b00b-0176-4acf-87de-cdaa90d7b9ca__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9314
[866/4639] Image: b9fabd83-2831-44cf-a6cc-e3dff50df59f__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8424
[867/4639] Image: 0aa83685-6def-486a-8883-b63529aaeaef__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0023
[868/4639] Image: ca2bc1ba-8158-4345-9bea-7265f78fb1fd__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6210
[869/4639] Image: e439cc3c-6e01-44aa-b6ea-d288e3bed144__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0035
[870/4639] Image: 7897c9c2-515f-4718-9063-045fe4dd0005__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4521
[871/4639] Image: 418b0af6-7284-46cd-98c5-1411dc8a8963__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0011
[872/4639] Image: a2f66af3-eb68-46ec-a2aa-b22c1e397f82__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4745
[873/4639] Image: f25513f2-abba-4ff7-8f59-e0ecd44784c9__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2704
[874/4639] Image: 0964b239-d2a1-44a2-ae04-d9556d7eabfc__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6608
[875/4639] Image: 87da8fdf-5f9f-4bff-9dd7-fac5090c3ae4__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0404
[876/4639] Image: 5ab3cb6e-8b03-4880-9db6-947b152c6131__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9886
[877/4639] Image: b1cfb4b6-4997-4e87-a388-34d71413bb5f__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7770
[878/4639] Image: bca37b7e-7d53-4ca7-8cf4-9d6770eba281__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9041
[879/4639] Image: 9b0e015a-225a-4bad-8137-f18bd59c9b59__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0059
[880/4639] Image: 6a5ea0f7-08b8-4afa-8769-b2479f31b7c3__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2456
[881/4639] Image: 9e350bf6-747b-4696-b059-3193d6ccf74f__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9940
[882/4639] Image: d66d9adf-4600-4876-b390-562adc699b64__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0242
[883/4639] Image: d28cc132-a6c3-41ae-bc44-83e214826714__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8346
[884/4639] Image: bfe2ed81-ba8f-41a4-8eb8-a4c4f69a71ab__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1086
[885/4639] Image: 19eada27-f6fc-4052-9a0d-6c4f4eec02de__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3531
[886/4639] Image: ce483ae6-9d8c-4e04-9999-30a06b57f6ef__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5068
[887/4639] Image: ea42eba5-1a3b-4a02-aca8-d3c90445d7b6__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6576
[888/4639] Image: e4a99c6f-b59a-473b-b04d-b7a849538a20__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0032
[889/4639] Image: 953a48d1-38a3-459d-b438-f204883ea721__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1402
[890/4639] Image: 64845c72-e15a-448e-8765-cbd471f6fb7b__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0219
[891/4639] Image: 41196630-0d9d-4ec0-a611-273f4e7faf03__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1222
[892/4639] Image: 8c39aec0-e082-455f-9d06-aa8893e01c6d__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9811
[893/4639] Image: 4fe519cd-5316-46de-b6a5-a781c9ec8048__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3853
[894/4639] Image: df13632c-2a14-4cf7-b64e-d6249f773f43__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0005
[895/4639] Image: df543c48-9a26-49bc-b4b3-bd52a865f12a__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9995
[896/4639] Image: 420ba87a-c104-4833-a0fc-cd0b0d811e5d__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0112
[897/4639] Image: 1a636b16-d17e-43d5-80b8-b1d142201255__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9717
[898/4639] Image: 32426f3d-fcc3-413d-bd7c-60f7e2b5061c__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0995
[899/4639] Image: 8baf4de9-b885-4635-aa35-9d6cc9dea60e__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0067
[900/4639] Image: 8ddfa480-102a-4914-b8f2-6bf2d2735c65__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0635
[901/4639] Image: f58ae694-fa4e-460e-b2fd-706c2e45ad86__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1060
[902/4639] Image: 95bd69ab-8def-4b3b-89e7-494f621f2dd1__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0073
[903/4639] Image: 574a8a56-0603-4af5-a4e0-4457ab7091e4__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3101
[904/4639] Image: 385e132a-f545-4734-ba50-55dd36c9f283__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2485
[905/4639] Image: 02ad2695-7ff9-443d-97e5-114a545a914d__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1211
[906/4639] Image: b45c8fdc-bfc7-427d-aa4e-f4eab3dce74c__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7405
[907/4639] Image: 7cb1b0e1-c20a-4436-9151-216304664a81__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0403
[908/4639] Image: 73bf1974-a0a8-45b4-9869-48198820ca60__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1388
[909/4639] Image: 360664cf-3724-44bd-9f3f-59fe75d62eca__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4415
[910/4639] Image: 0eb4d887-5c1f-4a7e-acd4-4a74271ed2b9__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3410
[911/4639] Image: c6fbd133-8aef-4768-bc7e-3fe34865901b__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9485
[912/4639] Image: d0761cc5-4649-4999-b171-e481a4a547f4__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2981
[913/4639] Image: 29ef92d1-90d4-4e10-9ff5-e5052d210872__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3629
[914/4639] Image: 4a79c9b5-3618-4202-8171-46494cffa01e__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0752
[915/4639] Image: 10956634-1407-4122-be9f-aa2da45eb63e__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6210
[916/4639] Image: 56bf2d83-24d6-45d4-9b8e-e3da59698b15__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9893
[917/4639] Image: 8cb7776d-de23-4b74-a7df-fcd181bfd078__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0071
[918/4639] Image: b626a376-ca2d-4b0a-82a6-aae2e5d7ba32__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2083
[919/4639] Image: 03a0195e-4721-4110-8625-7f87747e99bb__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4709
[920/4639] Image: 40cbefac-5eb9-4818-b505-0a516cf5a127__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2797
[921/4639] Image: 71454a87-cac7-446f-a482-9a4ce160435e__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9564
[922/4639] Image: 010f3131-8a26-4ad6-abf2-64c0deeb93e9__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9995
[923/4639] Image: 96e84304-4ea4-45fd-8b85-8450d3274fba__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3993
[924/4639] Image: 0d6ef643-6eec-4386-a3b4-0e97dff354c8__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2923
[925/4639] Image: 03184a13-abb4-4701-a7d9-d0743b84e464__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9458
[926/4639] Image: 02f35bbc-9585-4e8b-acfd-c64efa331530__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0998
[927/4639] Image: 17d394bb-275d-4d45-b69f-5b0792f84958__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0039
[928/4639] Image: c4f78255-6ce6-47a2-b9a9-b3b1888a33ea__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9955
[929/4639] Image: 8d76c103-11f7-4201-8258-066bff6e21ca__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2160
[930/4639] Image: 2c921b13-1925-4b01-9e3b-38c2fdfb13c6__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9962
[931/4639] Image: d5798da4-daba-41c1-8081-af4511f0db33__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0197
[932/4639] Image: a795fded-62f6-450d-8182-faedb0e039be__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9986
[933/4639] Image: 9860a83c-0d5c-400e-803b-c67187564f01__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7238
[934/4639] Image: 4cc52652-5edb-40f1-bb08-33fd04c3766f__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0204
[935/4639] Image: ee6e4087-84f7-438a-aac9-794e8d8f08ec__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0880
[936/4639] Image: 59b901f5-4c61-4b05-bcbb-2f34fa77ace3__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9787
[937/4639] Image: 21f26c54-1081-42cf-b2b4-ca52fce83c38__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0991
[938/4639] Image: 033bf87c-f8f0-4b83-8494-d2f20786d427__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9862
[939/4639] Image: b6d92cac-96e0-4e3a-b629-60a2d931af26__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6107
[940/4639] Image: 27d0fcef-00f9-42ad-be78-cdb25acdc72a__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9558
[941/4639] Image: 43e0066a-60e3-440a-b638-1312b45fbda1__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9560
[942/4639] Image: f9f13091-35c9-47fa-9e44-5801606871aa__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9175
[943/4639] Image: 0f9cb8eb-29f4-4753-a656-b076a43b259e__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1062
[944/4639] Image: 42385e00-c378-4207-9bff-282a20165823__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0489
[945/4639] Image: 3424f9e6-4bf7-45de-8668-7cbf3f1c6460__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3677
[946/4639] Image: e55a3699-cb18-45d1-b719-f3a53794c5ad__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2391
[947/4639] Image: 0a2c10dd-a284-4967-b013-c37262500e24__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3343
[948/4639] Image: a105441b-3b22-4b0c-9e91-4b6012e88588__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9036
[949/4639] Image: 2b389dea-d846-41e4-9ac9-309f5eaf5a1a__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9900
[950/4639] Image: b1f92df1-b5ff-403f-8116-9ea72f7f6a77__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8290
[951/4639] Image: c0133652-99a4-477a-a97c-a7bc4b6c2575__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7451
[952/4639] Image: f5af9e64-aab1-409a-aa4d-0cfb231b36b9__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8372
[953/4639] Image: 93a961cd-6493-4d7e-93e5-abba9e5d76bb__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6483
[954/4639] Image: 9708d12b-4534-4478-97b5-0bf751f5a14f__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9718
[955/4639] Image: 570057a2-d096-4e65-9e24-234495b7143b__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9790
[956/4639] Image: 00e62101-db49-4988-92c5-e9fbdf58c478__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7466
[957/4639] Image: 1c93c73e-bec0-41fb-b86e-1d3bc90a1f3a__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6007
[958/4639] Image: 4a9627c5-7f6f-4366-a20e-b47e167dcd14__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0916
[959/4639] Image: 1bd7eb39-6835-498e-b9f5-e2c67d6baa0b__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9911
[960/4639] Image: fcbf4753-5d47-4bf7-93c9-101b45da72b1__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0304
[961/4639] Image: d9d1142d-aac6-4910-9036-6f7690ce51de__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0400
[962/4639] Image: ba4c9df6-dd0a-47bf-94cb-05c8df01c952__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5127
[963/4639] Image: 4dabb116-c6ad-4934-a7df-ca1afcf345ed__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1978
[964/4639] Image: 9c285d91-3199-4ee2-b7fd-ebe214969105__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9992
[965/4639] Image: 099718a6-064e-4411-adfa-aadac9df5e5d__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7025
[966/4639] Image: 1b7689f3-8e8e-49b2-abe6-a55b0aafad42__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7433
[967/4639] Image: 789039c4-8a4c-487a-8b06-85613b9b9813__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7534
[968/4639] Image: a795fded-62f6-450d-8182-faedb0e039be__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9540
[969/4639] Image: eeaa168e-e7ae-411e-aab7-7e935ce17e39__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9082
[970/4639] Image: c9e2eeae-ccb7-48ab-8090-89ebc76d042f__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9713
[971/4639] Image: 020a961e-e998-425e-86e5-c070dbed37b3__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9954
[972/4639] Image: 188bd04d-1bef-44d2-aab6-762a78653000__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0591
[973/4639] Image: 223f0619-589d-4531-a033-3653cbedb45a__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9867
[974/4639] Image: 29b016a8-8a4b-44ac-85da-587727e8e4db__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1494
[975/4639] Image: 8b8b1cea-c0e6-41e2-939b-0a2ca31e5b4e__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1240
[976/4639] Image: 56a23e5c-3550-4aac-9ffd-49005dd37f51__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0997
[977/4639] Image: 03c15c4e-108b-471f-8cd9-3a0dfe208b0e__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9874
[978/4639] Image: 30c7a249-6c76-4e7c-a612-108d874fcd1a__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5629
[979/4639] Image: c4a911e6-abc5-43c8-9038-e2995dbeb563__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9512
[980/4639] Image: 8184e1c0-9632-43cc-abba-1ec13264045c__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9966
[981/4639] Image: 89184492-3312-411d-9ca6-aa0305a7341d__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8965
[982/4639] Image: 50dbf891-47e6-4b33-ae1e-7e153d155054__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6396
[983/4639] Image: 3d345c8c-7ad6-49ed-9916-527d4b19f3bc__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0107
[984/4639] Image: ce59e15b-58ff-4cd4-9db2-52a1f5ed48cb__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9584
[985/4639] Image: 46e253b0-dfcc-45e9-99e8-df0c0c36953a__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6149
[986/4639] Image: cb8e3359-752c-4fda-9bc9-0baf7352bd7a__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9645
[987/4639] Image: e5a78061-48bf-4f74-8c0e-140d33dda29a__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7692
[988/4639] Image: d120fb79-38ef-4bdb-b085-f5ae85a9168c__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8021
[989/4639] Image: 385e132a-f545-4734-ba50-55dd36c9f283__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3024
[990/4639] Image: 511b8d7d-88e0-4976-97b3-3d969a26537b__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0317
[991/4639] Image: 385ad229-5428-47c4-bf4b-b5862e7c84a3__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5079
[992/4639] Image: 6dabf3f6-0d89-4e47-a90a-98760f22cc51__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3818
[993/4639] Image: a02b429b-0952-41e1-a171-aa0170913c82__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3837
[994/4639] Image: c94a2e6b-ad2e-4904-a543-00f72d687535__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5499
[995/4639] Image: ab1c4202-9fc3-4072-a095-14106388a84a__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0361
[996/4639] Image: 7b4f44d9-c244-4f92-9b91-d38d425a3083__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9254
[997/4639] Image: 2aa894f3-1f70-4209-90f8-0158fc5e83fc__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3576
[998/4639] Image: 5543939a-d21b-4e77-bd90-3013ff1d6e7d__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5091
[999/4639] Image: 2d51b2f2-380f-46c9-9987-462c848678a0__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8406
[1000/4639] Image: 25042ad1-b975-4b3f-bf0b-c212bf3af44c__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4515
[1001/4639] Image: d95d2ccd-2993-4ea0-b737-7a5c2ede8b69__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5865
[1002/4639] Image: 754be2b3-bd7b-4ec3-a925-899d6a815878__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9276
[1003/4639] Image: a6995f1a-9a21-4fdc-929c-448bd38353d8__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9807
[1004/4639] Image: 26dfeaba-d93c-404b-8396-05c84b2d5389__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0040
[1005/4639] Image: 59b901f5-4c61-4b05-bcbb-2f34fa77ace3__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9882
[1006/4639] Image: 0c3e14f1-063b-4d5b-a8d8-96ea6d541081__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2442
[1007/4639] Image: 184fb843-0d6f-4e6c-939f-848451c22abb__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3638
[1008/4639] Image: 90dd964d-db7f-4b6e-a470-f18262c17467__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0347
[1009/4639] Image: 353c3c8b-572b-4c2a-a1ad-2ba0e99bcd0c__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8811
[1010/4639] Image: 6faea2fe-3956-4926-92fe-c927772d1d5b__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8575
[1011/4639] Image: adc18a34-c3c7-4d05-b5d0-8dd3aadff7d4__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3999
[1012/4639] Image: 8b78a90e-5d10-4455-87fd-0fa987772058__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0634
[1013/4639] Image: 6ed64146-a070-48c3-8d6e-f4ed6a54e482__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9999
[1014/4639] Image: 43d1366c-2861-4a8a-a1d8-d5d6d784596c__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6114
[1015/4639] Image: 419f2ef7-e88e-4a74-a8b4-d28523778ff5__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3955
[1016/4639] Image: 8859c633-9115-490e-9a7f-c269d54bf83b__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4968
[1017/4639] Image: d22cfdbb-4ce1-47d8-83bf-7536e04a7f5a__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9138
[1018/4639] Image: 385ad229-5428-47c4-bf4b-b5862e7c84a3__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9268
[1019/4639] Image: 91b31b73-dbdc-422e-879c-778db4cc7c5a__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3019
[1020/4639] Image: c5f03e98-d3b3-4303-83bc-528d5613cd70__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0363
[1021/4639] Image: 2baad6b8-d740-4ac8-9eac-1462e016ef67__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7739
[1022/4639] Image: 262fe9dc-580e-4fc6-84f1-bd50398e4330__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9732
[1023/4639] Image: 9925d338-67d7-4191-868d-0e41f86e5812__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2575
[1024/4639] Image: 111ea4f3-ab61-4f0d-9ac9-0f1452590497__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1906
[1025/4639] Image: 566647c9-f7cf-4d0c-ae0b-00c3e3fce851__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9994
[1026/4639] Image: fdb6fc22-a21f-4d3c-b824-3aa0f6719f61__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9139
